"TargetModule","Coverage"
"api","0.589041095890411"
"attr_category","0.46511627906976744"
"configuration","0.4583333333333333"
"constants","1.0"
"format","0.21428571428571427"
"utils","0.6363636363636364"
"conf","0.8"
"box","0.9333333333333333"
"either","0.9333333333333333"
"immutable_list","0.7333333333333333"
"lazy","0.6923076923076923"
"maybe","0.5833333333333334"
"monad_try","0.84"
"semigroups","0.9444444444444444"
"task","0.3333333333333333"
"utils","0.3235294117647059"
"validation","0.7083333333333334"
"exchange","0.2727272727272727"
"generic","0.42857142857142855"
"journaling","0.125"
"ledger","0.24390243902439024"
"errors","0.3333333333333333"
"generation","0.8378378378378378"
"jedi_utils","0.41025641025641024"
"config","0.6578947368421053"
"context","0.5555555555555556"
"sessions","0.5"
"status","1.0"
"uploads","0.3409090909090909"
"utils","0.5405405405405406"
"processing","0.6521739130434783"
"writer","0.1702127659574468"
"colors","0.23076923076923078"
"headers","0.6"
"base","0.7857142857142857"
"builtin","1.0"
"manager","0.8076923076923077"
"iterator_d","0.7272727272727273"
"structure_d","0.7894736842105263"
"timing_d","0.5"
"decorators_d","0.6666666666666666"
"namedtupleutils_d","0.9142857142857143"
"objutils_d","0.9259259259259259"
"packages_d","0.0379746835443038"
"strutils_d","0.8333333333333334"
"iterator_d","0.7272727272727273"
"structure_d","0.7894736842105263"
"timing_d","0.5"
"common_d","0.3333333333333333"
"decorators_d","0.18181818181818182"
"en_d","0.9"
"pl_d","0.8392857142857143"
"pt_br_d","0.9375"
"ru_d","0.9761904761904762"
"address_d","0.8837209302325582"
"base_d","0.4411764705882353"
"payment_d","0.9615384615384616"
"person_d","0.9466666666666667"
"structure_d","0.896551724137931"
"api_d","0.589041095890411"
"configuration_d","0.4583333333333333"
"constants_d","1.0"
"format_d","0.21428571428571427"
"utils_d","0.6363636363636364"
"conf_d","0.6"
"box_d","0.9333333333333333"
"either_d","0.9333333333333333"
"immutable_list_d","0.6444444444444445"
"lazy_d","0.5769230769230769"
"maybe_d","0.4444444444444444"
"monad_try_d","0.8"
"semigroups_d","0.75"
"utils_d","0.35294117647058826"
"validation_d","0.7083333333333334"
"exchange_d","0.2727272727272727"
"generic_d","0.42857142857142855"
"journaling_d","0.15"
"ledger_d","0.21951219512195122"
"errors_d","0.3333333333333333"
"generation_d","0.8918918918918919"
"jedi_utils_d","0.4358974358974359"
"base_d","0.9148936170212766"
"composites_d","0.6857142857142857"
"formats_d","0.4461538461538462"
"positional_validation_d","0.25"
"tokenize_yaml_d","0.7619047619047619"
"tokens_d","0.3902439024390244"
"env_d","0.8571428571428571"
"log_d","0.8275862068965517"
"path_d","0.3333333333333333"
"props_d","0.7142857142857143"
"rand_d","1.0"
"simple_import_d","0.6666666666666666"
"blueprint_group_d","0.9"
"cookies_d","0.6595744680851063"
"exceptions_d","0.9555555555555556"
"headers_d","0.2891566265060241"
"helpers_d","0.8333333333333334"
"utils_d","0.7241379310344828"
"config_d","0.6842105263157895"
"context_d","0.5555555555555556"
"sessions_d","0.5208333333333334"
"uploads_d","0.5454545454545454"
"utils_d","0.5945945945945946"
"processing_d","0.6521739130434783"
"writer_d","0.1702127659574468"
"colors_d","0.23076923076923078"
"headers_d","0.6"
"base_d","0.7857142857142857"
"builtin_d","1.0"
"manager_d","0.8076923076923077"
"_timer_d","1.0"
"_timers_d","0.8148148148148148"
"base","0.9468085106382979"
"composites","0.6857142857142857"
